DispNum3,DispNum4_A,StDay_A,StMon_A,StYear_A,EndDay_A,EndMon_A,EndYear_A,Outcome,Settle,Fatality_A,FatalPre,MaxDur,MinDur,HiAct_A,HostLev_A,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version_A,DispNum4_B,StAbb,ccode,StDay_B,StMon_B,StYear_B,EndDay_B,EndMon_B,EndYear_B,SideA,RevState,RevType1,RevType2,Fatality_B,FataPre,HiAct_B,HostLev_B,Orig,Version_B,Stalemate
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,GRC,350,20.0,1,1951,27.0,7,1953,0,0,0,nan,3.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,BEL,211,20.0,1,1951,27.0,7,1953,0,0,0,nan,3.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,COL,100,6.0,6,1951,27.0,7,1953,0,0,0,nan,3.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,THI,800,20.0,1,1951,27.0,7,1953,0,0,0,nan,3.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,ETH,530,1.0,5,1951,27.0,7,1953,0,0,0,nan,3.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,CAN,20,29.0,6,1950,27.0,7,1953,0,0,0,nan,4.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,FRN,220,1.0,1,1951,27.0,7,1953,0,0,0,nan,4.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,AUL,900,1.0,7,1950,27.0,7,1953,0,0,0,nan,4.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,TUR,640,18.0,10,1950,27.0,7,1953,0,0,0,nan,5.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,UKG,200,28.0,6,1950,27.0,7,1953,0,0,0,nan,5.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,CHN,710,30.0,9,1950,27.0,7,1953,1,0,0,nan,6.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,ROK,732,24.0,6,1950,27.0,7,1953,0,1,1,nan,6.0,nan,20,5,1,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,USA,2,27.0,6,1950,27.0,7,1953,0,0,0,nan,6.0,nan,20,5,0,4.01,1
51,nan,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,nan,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01,nan,PRK,731,24.0,6,1950,27.0,7,1953,1,1,1,nan,6.0,nan,20,5,1,4.01,1
53,nan,22.0,8,1956,23.0,8,1956,5.0,3.0,0.0,0.0,2,2,16,4,1,1,1,0,0,0.0,0,4.01,nan,USA,2,22.0,8,1956,23.0,8,1956,0,0,0,nan,0.0,0.0,7,3,1,4.01,1
