,DispNum3,DispNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Outcome,Settle,Fatality,FatalPre,MaxDur,MinDur,HiAct,HostLev,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version
179,336,,30.0,8,1937,30.0,8,1937,5.0,3.0,0.0,0.0,1,1,16,4,0,1,1,0,0,0.0,0,4.01
180,337,,14.0,12,1938,20.0,6,1940,4.0,3.0,0.0,0.0,555,555,13,4,0,1,2,0,0,0.0,0,4.01
181,339,,2.0,4,1940,7.0,12,1941,9.0,3.0,0.0,0.0,615,615,21,5,1,1,1,0,0,0.0,0,4.01
182,343,,2.0,10,1966,7.0,6,1968,5.0,3.0,1.0,,615,615,17,4,1,1,1,0,0,0.0,0,4.01
183,345,,23.0,5,1967,19.0,6,1967,5.0,3.0,0.0,0.0,28,28,7,3,1,1,2,0,0,0.0,0,4.01
184,346,,23.0,4,1968,12.0,11,1968,1.0,2.0,0.0,0.0,204,204,14,4,0,5,1,0,0,0.0,0,4.01
185,347,,23.0,1,1968,22.0,12,1968,7.0,3.0,0.0,0.0,335,335,15,4,1,1,1,0,0,0.0,0,4.01
186,349,,2.0,3,1969,13.0,12,1969,5.0,3.0,3.0,,287,287,17,4,1,1,1,0,0,0.0,0,4.01
187,350,,14.0,2,1969,17.0,5,1969,7.0,3.0,0.0,0.0,93,93,15,4,0,1,1,0,0,0.0,0,4.01
188,352,,1.0,1,1969,7.0,11,1969,5.0,3.0,,,311,311,17,4,1,1,1,0,0,0.0,0,4.01
189,353,,6.0,10,1973,31.0,10,1973,5.0,1.0,0.0,0.0,26,26,8,3,1,2,3,0,0,0.0,0,4.01
190,354,,1.0,9,1972,8.0,11,1973,1.0,1.0,1.0,,434,434,16,4,1,1,1,0,0,0.0,0,4.01
191,355,,15.0,1,1974,20.0,1,1974,2.0,2.0,,,6,6,17,4,1,1,1,0,0,0.0,0,4.01
192,356,,12.0,5,1975,15.0,5,1975,7.0,2.0,,,4,4,16,4,1,1,1,0,0,0.0,0,4.01
193,358,,20.0,10,1975,20.0,10,1975,5.0,3.0,1.0,,1,1,17,4,1,1,1,0,0,0.0,0,4.01
194,360,,,10,1975,29.0,11,1975,6.0,1.0,0.0,0.0,60,30,7,3,1,1,1,0,0,0.0,0,4.01
195,361,,3.0,2,1976,3.0,2,1976,5.0,3.0,1.0,,1,1,17,4,1,1,1,0,0,0.0,0,4.01
196,362,,19.0,6,1976,31.0,8,1976,5.0,3.0,1.0,,74,74,17,4,1,1,2,0,0,0.0,0,4.01
197,363,,4.0,2,1976,11.0,2,1976,5.0,3.0,0.0,0.0,8,8,16,4,0,1,1,0,0,0.0,0,4.01
198,364,,14.0,3,1974,14.0,9,1974,7.0,3.0,0.0,0.0,185,185,15,4,0,1,1,0,0,0.0,0,4.01
199,365,,6.0,9,1976,,11,1976,5.0,3.0,0.0,0.0,86,57,7,3,1,1,1,0,0,0.0,0,4.01
200,366,,27.0,8,1821,27.0,2,1822,5.0,3.0,0.0,0.0,185,185,7,3,0,1,1,0,0,0.0,0,4.01
201,367,,20.0,7,1828,28.0,8,1828,4.0,2.0,0.0,0.0,40,40,14,4,0,1,1,0,0,0.0,0,4.01
202,368,,15.0,9,1832,21.0,5,1833,2.0,2.0,,,249,249,17,4,1,2,3,0,0,0.0,0,4.01
203,370,,28.0,8,1830,,9,1830,5.0,3.0,0.0,0.0,34,5,7,3,1,1,1,0,0,0.0,0,4.01
204,371,,,1,1842,13.0,3,1842,5.0,3.0,0.0,0.0,72,42,1,2,0,2,1,0,0,0.0,0,4.01
205,373,,,1,1846,8.0,6,1846,6.0,1.0,0.0,0.0,159,129,7,3,0,1,1,0,0,0.0,0,4.01
206,374,,23.0,3,1848,9.0,8,1848,5.0,3.0,,,140,140,16,4,1,3,1,0,0,0.0,0,4.01
