,DispNum3,DispNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,SideA,RevState,RevType1,RevType2,Fatality,FataPre,HiAct,HostLev,Orig,Version
3682,3095,,KUW,690,1.0,10,1981,1.0,10,1981,0,0,0,,0.0,0.0,0,1,1,4.01
3683,3095,,IRN,630,1.0,10,1981,1.0,10,1981,1,1,2,,0.0,0.0,16,4,1,4.01
3684,3096,,IND,750,24.0,9,1981,24.0,9,1981,1,0,0,,1.0,,17,4,1,4.01
3685,3096,,BNG,771,24.0,9,1981,24.0,9,1981,0,0,0,,1.0,,17,4,1,4.01
3686,3097,,IRN,630,21.0,9,1981,21.0,9,1981,1,0,0,,1.0,,17,4,1,4.01
3687,3097,,TUR,640,21.0,9,1981,21.0,9,1981,0,1,2,,1.0,,17,4,1,4.01
3688,3098,,SOM,520,9.0,11,1981,6.0,12,1981,0,0,0,,,,7,3,0,4.01
3689,3098,,LIB,620,10.0,9,1981,6.0,12,1981,1,1,3,,,,7,3,1,4.01
3690,3098,,SUD,625,10.0,9,1981,6.0,12,1981,0,0,0,,,,16,4,1,4.01
3691,3098,,OMA,698,9.0,11,1981,6.0,12,1981,0,0,0,,0.0,0.0,7,3,0,4.01
3692,3098,,USA,2,9.0,11,1981,6.0,12,1981,0,0,0,,0.0,0.0,7,3,0,4.01
3693,3098,,EGY,651,9.0,11,1981,6.0,12,1981,0,0,0,,0.0,0.0,7,3,0,4.01
3694,3099,,EGY,651,20.0,8,1981,21.0,8,1981,1,0,0,,0.0,0.0,7,3,0,4.01
3695,3099,,USA,2,18.0,8,1981,21.0,8,1981,1,1,2,,0.0,0.0,16,4,1,4.01
3696,3099,,LIB,620,18.0,8,1981,21.0,8,1981,0,0,0,,0.0,0.0,16,4,1,4.01
3697,3100,,DEN,390,12.0,8,1981,19.0,8,1981,0,0,0,,0.0,0.0,0,1,1,4.01
3698,3100,,IRN,630,12.0,8,1981,19.0,8,1981,1,1,2,,0.0,0.0,15,4,1,4.01
3699,3101,,IRQ,645,7.0,6,1981,7.0,6,1981,0,0,0,,,,0,1,1,4.01
3700,3101,,ISR,666,7.0,6,1981,7.0,6,1981,1,1,2,,0.0,0.0,12,3,1,4.01
3701,3102,,CHN,710,5.0,5,1981,17.0,8,1981,0,1,2,,3.0,,17,4,1,4.01
3702,3102,,DRV,816,5.0,5,1981,17.0,8,1981,1,0,0,,3.0,,17,4,1,4.01
3703,3103,,NIG,475,15.0,12,1981,15.0,12,1981,0,0,0,,0.0,0.0,0,1,1,4.01
3704,3103,,CAO,471,15.0,12,1981,15.0,12,1981,1,0,0,,0.0,0.0,12,3,1,4.01
3705,3104,,CAO,471,20.0,5,1981,20.0,5,1981,0,0,0,,0.0,0.0,17,4,1,4.01
